A,PSNR_dB,raw_BER,decode,n
0.5,inf,0.503689236111111,0,24
1.0,51.20905048678716,0.2701822916666667,0,24
1.5,48.198139832424886,0.1791449652777778,2,24
2.0,44.220158814619445,0.08995225694444443,8,24
3.0,41.21128303048255,0.04296875,15,24
4.0,38.201978055982394,0.015950520833333336,23,24
6.0,35.19506045624254,0.005208333333333335,23,24
