fpr,tpr
0.00211,0.24003
0.00211,0.24086
0.00218,0.24086
0.00225,0.24086
0.00225,0.24169
0.00225,0.24252
0.00225,0.24336
0.00225,0.24419
0.00225,0.24502
0.00225,0.24585
0.00225,0.24668
0.00225,0.24751
0.00225,0.24834
0.00225,0.24917
0.00225,0.25000
0.00225,0.25083
0.00225,0.25166
0.00225,0.25249
0.00225,0.25332
0.00225,0.25415
0.00225,0.25498
0.00225,0.25581
0.00225,0.25664
0.00225,0.25748
0.00225,0.25831
0.00225,0.25914
0.00225,0.25997
0.00225,0.26080
0.00225,0.26163
0.00225,0.26246
0.00225,0.26329
0.00225,0.26412
0.00225,0.26495
0.00225,0.26578
0.00225,0.26661
0.00225,0.26744
0.00225,0.26827
0.00225,0.26910
0.00225,0.26993
0.00225,0.27076
0.00225,0.27159
0.00225,0.27243
0.00225,0.27326
0.00225,0.27409
0.00225,0.27492
0.00225,0.27575
0.00225,0.27658
0.00225,0.27741
0.00225,0.27824
0.00225,0.27907
0.00225,0.27990
0.00225,0.28073
0.00225,0.28156
0.00225,0.28239
0.00225,0.28322
0.00225,0.28405
0.00225,0.28488
0.00225,0.28571
0.00225,0.28654
0.00225,0.28738
0.00225,0.28821
0.00225,0.28904
0.00232,0.28904
0.00239,0.28904
0.00239,0.28987
0.00239,0.29070
0.00239,0.29153
0.00239,0.29236
0.00239,0.29319
0.00239,0.29402
0.00239,0.29485
0.00239,0.29568
0.00239,0.29651
0.00239,0.29734
0.00239,0.29817
0.00239,0.29900
0.00239,0.29983
0.00239,0.30066
0.00239,0.30150
0.00239,0.30233
0.00239,0.30316
0.00239,0.30399
0.00239,0.30482
0.00239,0.30565
0.00239,0.30648
0.00239,0.30731
0.00239,0.30814
0.00239,0.30897
0.00239,0.30980
0.00239,0.31063
0.00239,0.31146
0.00239,0.31229
0.00239,0.31312
0.00239,0.31395
0.00239,0.31478
0.00239,0.31561
0.00239,0.31645
0.00239,0.31728
0.00239,0.31811
0.00239,0.31894
0.00239,0.31977
0.00239,0.32060
